MD1 	 MD2	 DMP 	 DM2 	 Br(h+->e+nu) 	 Br(h+->mu+nu) 	 Br(h+->tau+nu) 	 Br(h+->W-h1) 	 Br(W-->e+nu) 	Br(W-->mu+nu) 	 Br(W-->tau+nu)
9.792136e+02 	1.071805e+03 	2.180720e+01 	7.078397e+01 	1.123420e-01 	1.123283e-01 	1.087148e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.144288e+02 	5.392256e+02 	1.325178e+01 	1.154499e+01 	1.144713e-01 	1.144341e-01 	1.048500e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.003882e+02 	2.833337e+02 	1.914841e+01 	6.379715e+01 	1.127187e-01 	1.127008e-01 	1.080319e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.886884e+01 	1.313209e+02 	5.214080e+01 	4.031122e+01 	1.113056e-01 	1.113035e-01 	1.106493e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.114316e+01 	1.426547e+02 	1.186277e+01 	6.964881e+01 	1.153096e-01 	1.152631e-01 	1.033653e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.014121e+02 	5.774484e+02 	3.865715e+01 	3.737917e+01 	1.114794e-01 	1.114752e-01 	1.103153e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.371937e+01 	5.603002e+01 	1.508795e+01 	1.722271e+01 	1.137440e-01 	1.137149e-01 	1.061832e-01 	0.000000e+00 	1.104215e-01 	1.104211e-01 	1.103405e-01 
2.079435e+01 	1.496915e+02 	7.141618e+01 	5.748093e+01 	1.111915e-01 	1.111905e-01 	1.108508e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.291161e+01 	1.350100e+02 	6.956777e+01 	2.253064e+01 	1.111945e-01 	1.111935e-01 	1.108516e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.345917e+01 	1.249939e+02 	1.607544e+01 	9.545931e+01 	1.134762e-01 	1.134500e-01 	1.066763e-01 	0.000000e+00 	1.094181e-01 	1.094177e-01 	1.093378e-01 
4.091751e+02 	4.824730e+02 	4.772320e+01 	2.557468e+01 	1.113385e-01 	1.113359e-01 	1.105794e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.347418e+01 	4.800596e+01 	1.874195e+01 	1.578983e+01 	1.128622e-01 	1.128427e-01 	1.077915e-01 	0.000000e+00 	1.095830e-01 	1.095826e-01 	1.095026e-01 
1.834975e+01 	5.582139e+01 	2.600927e+01 	1.146238e+01 	1.120115e-01 	1.120014e-01 	1.093470e-01 	0.000000e+00 	1.105061e-01 	1.105058e-01 	1.104251e-01 
