MD1 	 MD2	 DMP 	 DM3 	 Br(h-->e-nu) 	 Br(h-->mu-nu) 	 Br(h-->tau-nu) 	 Br(h-->W-h1) 	 Br(W-->e-nu) 	Br(W-->mu-nu) 	 Br(W-->tau-nu)
2.737859e+01 	1.015260e+02 	6.076718e+01 	1.338020e+01 	1.112454e-01 	1.112439e-01 	1.107589e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.243555e+01 	1.319059e+02 	3.703209e+01 	1.243821e+01 	1.115225e-01 	1.115180e-01 	1.102445e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.566463e+02 	2.640008e+02 	3.247174e+01 	7.488273e+01 	1.116523e-01 	1.116462e-01 	1.100000e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.922324e+02 	3.778497e+02 	1.770520e+01 	6.791210e+01 	1.129929e-01 	1.129720e-01 	1.075282e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.180843e+02 	1.448298e+02 	1.465371e+01 	1.209186e+01 	1.138652e-01 	1.138348e-01 	1.059497e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.283374e+01 	1.179061e+02 	1.428744e+01 	2.078488e+01 	1.140105e-01 	1.139784e-01 	1.056898e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.807347e+01 	1.059712e+02 	1.223197e+01 	3.566578e+01 	1.150632e-01 	1.150195e-01 	1.038045e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.452549e+02 	3.118159e+02 	4.494943e+01 	2.161157e+01 	1.113743e-01 	1.113713e-01 	1.105153e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.398750e+01 	1.555447e+02 	5.340117e+01 	8.815600e+01 	1.113110e-01 	1.113088e-01 	1.106364e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.966776e+02 	6.030430e+02 	9.169529e+01 	1.467013e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999998e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.278891e+01 	1.297367e+02 	8.162693e+01 	1.532082e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.174918e+01 	5.304358e+01 	2.036193e+01 	2.093247e+01 	1.126109e-01 	1.125942e-01 	1.082514e-01 	0.000000e+00 	1.095217e-01 	1.095214e-01 	1.094414e-01 
1.143073e+01 	1.058365e+02 	1.061687e+01 	8.378885e+01 	1.164464e-01 	1.163867e-01 	1.013874e-01 	0.000000e+00 	1.089280e-01 	1.089277e-01 	1.088481e-01 
9.591172e+02 	1.031827e+03 	4.555137e+01 	2.715803e+01 	1.113633e-01 	1.113605e-01 	1.105286e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.143107e+02 	1.981675e+02 	4.292294e+01 	4.093390e+01 	1.114065e-01 	1.114032e-01 	1.104591e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.638994e+01 	7.664428e+01 	1.608514e+01 	2.416920e+01 	1.134140e-01 	1.133885e-01 	1.067763e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
9.556570e+01 	2.057446e+02 	9.298653e+01 	1.719237e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.779953e+01 	1.484610e+02 	8.078464e+01 	2.987678e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
7.373718e+02 	7.847073e+02 	1.269115e+01 	3.464436e+01 	1.147725e-01 	1.147319e-01 	1.043086e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.617953e+02 	2.231489e+02 	3.509251e+01 	2.626105e+01 	1.115694e-01 	1.115643e-01 	1.101538e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.737643e+01 	1.261873e+02 	1.040782e+01 	5.840305e+01 	1.165490e-01 	1.164882e-01 	1.011757e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
9.205757e+01 	1.357697e+02 	2.979996e+01 	1.391220e+01 	1.117626e-01 	1.117553e-01 	1.097982e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.287545e+01 	7.925685e+01 	2.440589e+01 	4.197551e+01 	1.121550e-01 	1.121434e-01 	1.090851e-01 	0.000000e+00 	1.098829e-01 	1.098825e-01 	1.098023e-01 
2.436722e+02 	2.722251e+02 	1.057960e+01 	1.797331e+01 	1.163661e-01 	1.163075e-01 	1.014874e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.178474e+02 	2.058290e+02 	6.858298e+01 	1.939867e+01 	1.111943e-01 	1.111933e-01 	1.108528e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.471222e+02 	2.633222e+02 	3.841071e+01 	7.778929e+01 	1.114880e-01 	1.114839e-01 	1.103058e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.385038e+02 	3.347540e+02 	6.046347e+01 	3.578671e+01 	1.112347e-01 	1.112333e-01 	1.107761e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.338622e+01 	1.140975e+02 	3.663372e+01 	1.407757e+01 	1.115345e-01 	1.115298e-01 	1.102234e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.083654e+01 	1.773890e+02 	8.900341e+01 	4.754908e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.857166e+02 	4.567667e+02 	8.998712e+01 	8.106292e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999996e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
