MD1 	 MD2	 DMP 	 DM3 	 Br(h2->e+e-h1) 	 Br(h2->mu+mu-h1) 	 Br(h2->tau+tau-h1) 	 Br(h2->n+n-h1) 	 Br(h2->Zh1) 	 Br(Z->e+e-) 	 Br(Z->mu+mu-) 	 Br(Z->tau+tau-) 	 Br(Z->n+n-)
3.794155e+01 	9.066364e+01 	3.923101e+01 	1.349108e+01 	3.451014e-02 	3.450919e-02 	3.421082e-02 	6.821893e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801652e-02 
2.468189e+02 	4.143873e+02 	7.120344e+01 	9.636497e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	8.707624e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.882713e+02 	3.618282e+02 	2.763520e+01 	4.592169e+01 	2.888192e-02 	2.888139e-02 	2.871788e-02 	5.709318e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.173288e+02 	2.629392e+02 	5.515605e+01 	9.045432e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	8.681101e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.598395e+02 	3.597292e+02 	2.988869e+01 	7.000095e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.437772e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.103509e+02 	2.882714e+02 	2.306683e+01 	5.485371e+01 	2.529596e-02 	2.529554e-02 	2.516369e-02 	5.000450e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.676366e+02 	4.916591e+02 	1.192344e+01 	1.209904e+01 	3.331765e-02 	3.331412e-02 	3.225764e-02 	6.586161e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.865542e+02 	4.300316e+02 	1.326707e+01 	3.021028e+01 	2.495592e-02 	2.495497e-02 	2.466348e-02 	4.933231e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
8.336906e+02 	8.720386e+02 	1.461821e+01 	2.372976e+01 	2.874929e-02 	2.874795e-02 	2.834013e-02 	5.683097e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.292652e+02 	1.635342e+02 	2.165018e+01 	1.261886e+01 	3.451454e-02 	3.451262e-02 	3.392684e-02 	6.822760e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.864244e+02 	6.292186e+02 	6.817626e+01 	7.461796e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.948542e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.716648e+02 	6.818238e+02 	1.374158e+01 	9.641747e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	4.303742e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.570856e+02 	3.453982e+02 	3.878512e+01 	4.952744e+01 	3.208651e-02 	3.208331e-02 	3.192538e-02 	6.342793e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.549904e+01 	1.588737e+02 	5.568659e+01 	6.768810e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.863409e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.938788e+01 	1.455492e+02 	5.333838e+01 	2.282290e+01 	3.423089e-02 	3.423030e-02 	3.404626e-02 	6.766690e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.891532e+01 	7.711055e+01 	1.600215e+01 	4.219308e+01 	1.925586e-02 	1.925541e-02 	1.911213e-02 	3.806457e-02 	0.000000e+00 	3.431246e-02 	3.431219e-02 	3.423522e-02 	6.782815e-02 
7.234034e+01 	1.487563e+02 	6.375178e+01 	1.266415e+01 	3.446100e-02 	3.446041e-02 	3.427598e-02 	6.812178e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
9.862942e+02 	1.061798e+03 	4.298709e+01 	3.251639e+01 	3.364814e-02 	3.364755e-02 	3.346384e-02 	6.651494e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.431949e+02 	6.838983e+02 	2.551559e+01 	1.518784e+01 	3.433386e-02 	3.433242e-02 	3.388882e-02 	6.787045e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.447987e+01 	2.118317e+02 	9.908200e+01 	4.826988e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.993409e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.235192e+02 	1.686276e+02 	2.458270e+01 	2.052567e+01 	3.300826e-02 	3.300709e-02 	3.264349e-02 	6.525005e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.668186e+02 	5.210631e+02 	7.368365e+01 	8.056078e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.901118e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.753948e+01 	1.010959e+02 	1.472957e+01 	5.882688e+01 	1.654608e-02 	1.654579e-02 	1.645303e-02 	3.270795e-02 	0.000000e+00 	3.438884e-02 	3.438856e-02 	3.431142e-02 	6.797912e-02 
3.327403e+01 	8.340891e+01 	3.252682e+01 	1.760806e+01 	3.388451e-02 	3.388352e-02 	3.357061e-02 	6.698218e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
