MD1 	 MD2	 DMP 	 DM2 	 Br(h+->e-nu) 	 Br(h+->mu-nu) 	 Br(h+->tau-nu) 	 Br(h+->W+h1) 	 Br(W+->e-nu) 	Br(W+->mu-nu) 	 Br(W+->tau-nu)
1.000000e+00 	7.000000e+00 	5.000000e+00 	1.000000e+00 	1.362030e-01 	1.358544e-01 	7.053562e-02 	0.000000e+00 	1.054481e-01 	1.054478e-01 	1.053708e-01 
1.000000e+00 	1.600000e+01 	5.000000e+00 	1.000000e+01 	1.362045e-01 	1.358559e-01 	7.053636e-02 	0.000000e+00 	1.057034e-01 	1.057031e-01 	1.056259e-01 
1.000000e+00 	1.060000e+02 	5.000000e+00 	1.000000e+02 	1.362045e-01 	1.358559e-01 	7.053636e-02 	0.000000e+00 	1.081884e-01 	1.081881e-01 	1.081091e-01 
1.000000e+00 	2.200000e+01 	2.000000e+01 	1.000000e+00 	1.130133e-01 	1.129919e-01 	1.075447e-01 	0.000000e+00 	1.069488e-01 	1.069485e-01 	1.068704e-01 
1.000000e+00 	3.100000e+01 	2.000000e+01 	1.000000e+01 	1.130133e-01 	1.129919e-01 	1.075447e-01 	0.000000e+00 	1.074365e-01 	1.074362e-01 	1.073577e-01 
1.000000e+00 	1.210000e+02 	2.000000e+01 	1.000000e+02 	1.130133e-01 	1.129919e-01 	1.075447e-01 	0.000000e+00 	1.087014e-01 	1.087010e-01 	1.086216e-01 
1.000000e+00 	4.200000e+01 	4.000000e+01 	1.000000e+00 	1.115834e-01 	1.115783e-01 	1.101322e-01 	0.000000e+00 	1.099077e-01 	1.099074e-01 	1.098271e-01 
1.000000e+00 	5.100000e+01 	4.000000e+01 	1.000000e+01 	1.115834e-01 	1.115783e-01 	1.101322e-01 	0.000000e+00 	1.099077e-01 	1.099074e-01 	1.098271e-01 
1.000000e+00 	1.410000e+02 	4.000000e+01 	1.000000e+02 	1.115834e-01 	1.115783e-01 	1.101322e-01 	0.000000e+00 	1.099077e-01 	1.099074e-01 	1.098271e-01 
1.000000e+00 	6.200000e+01 	6.000000e+01 	1.000000e+00 	1.112969e-01 	1.112950e-01 	1.106523e-01 	0.000000e+00 	1.109090e-01 	1.109086e-01 	1.108276e-01 
1.000000e+00 	7.100000e+01 	6.000000e+01 	1.000000e+01 	1.112969e-01 	1.112950e-01 	1.106523e-01 	0.000000e+00 	1.109090e-01 	1.109086e-01 	1.108276e-01 
1.000000e+00 	1.610000e+02 	6.000000e+01 	1.000000e+02 	1.112969e-01 	1.112950e-01 	1.106523e-01 	0.000000e+00 	1.109090e-01 	1.109086e-01 	1.108276e-01 
1.000000e+00 	8.200000e+01 	8.000000e+01 	1.000000e+00 	1.109557e-01 	1.109331e-01 	1.110899e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.000000e+00 	9.100000e+01 	8.000000e+01 	1.000000e+01 	1.109557e-01 	1.109331e-01 	1.110899e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.000000e+00 	1.810000e+02 	8.000000e+01 	1.000000e+02 	1.109557e-01 	1.109331e-01 	1.110899e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.000000e+00 	1.220000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999996e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.000000e+00 	1.310000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999996e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.000000e+00 	2.210000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999996e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
