MD1 	 MD2	 DMP 	 DM3 	 Br(h2->e+e-h1) 	 Br(h2->mu+mu-h1) 	 Br(h2->tau+tau-h1) 	 Br(h2->n+n-h1) 	 Br(h2->Zh1) 	 Br(Z->e+e-) 	 Br(Z->mu+mu-) 	 Br(Z->tau+tau-) 	 Br(Z->n+n-)
1.000000e+00 	7.000000e+00 	5.000000e+00 	1.000000e+00 	4.400966e-02 	4.395113e-02 	2.196218e-02 	8.699738e-02 	0.000000e+00 	3.297111e-02 	3.297084e-02 	3.289688e-02 	6.517658e-02 
1.000000e+00 	1.600000e+01 	5.000000e+00 	1.000000e+01 	1.962895e-02 	1.962486e-02 	1.822209e-02 	3.880210e-02 	0.000000e+00 	3.304862e-02 	3.304836e-02 	3.297422e-02 	6.532981e-02 
1.000000e+00 	1.060000e+02 	5.000000e+00 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.102657e-01 	3.406119e-02 	3.406092e-02 	3.398452e-02 	6.733144e-02 
1.000000e+00 	2.200000e+01 	2.000000e+01 	1.000000e+00 	3.680636e-02 	3.680234e-02 	3.547069e-02 	7.275801e-02 	0.000000e+00 	3.322172e-02 	3.322145e-02 	3.314693e-02 	6.567198e-02 
1.000000e+00 	3.100000e+01 	2.000000e+01 	1.000000e+01 	3.358668e-02 	3.358476e-02 	3.295021e-02 	6.639344e-02 	0.000000e+00 	3.337903e-02 	3.337877e-02 	3.330389e-02 	6.598296e-02 
1.000000e+00 	1.210000e+02 	2.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	2.723418e-01 	3.415826e-02 	3.415799e-02 	3.408136e-02 	6.752332e-02 
1.000000e+00 	4.200000e+01 	4.000000e+01 	1.000000e+00 	3.504302e-02 	3.504182e-02 	3.463523e-02 	6.927230e-02 	0.000000e+00 	3.381617e-02 	3.381590e-02 	3.374005e-02 	6.684709e-02 
1.000000e+00 	5.100000e+01 	4.000000e+01 	1.000000e+01 	3.461754e-02 	3.461663e-02 	3.430840e-02 	6.843122e-02 	0.000000e+00 	3.400312e-02 	3.400285e-02 	3.392658e-02 	6.721665e-02 
1.000000e+00 	1.410000e+02 	4.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	4.576126e-01 	3.437770e-02 	3.437743e-02 	3.430031e-02 	6.795711e-02 
1.000000e+00 	6.200000e+01 	6.000000e+01 	1.000000e+00 	3.464893e-02 	3.464821e-02 	3.440360e-02 	6.849326e-02 	0.000000e+00 	3.422711e-02 	3.422684e-02 	3.415006e-02 	6.765943e-02 
1.000000e+00 	7.100000e+01 	6.000000e+01 	1.000000e+01 	3.452949e-02 	3.452887e-02 	3.431824e-02 	6.825714e-02 	0.000000e+00 	3.433673e-02 	3.433646e-02 	3.425943e-02 	6.787612e-02 
1.000000e+00 	1.610000e+02 	6.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	5.939122e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.000000e+00 	8.200000e+01 	8.000000e+01 	1.000000e+00 	3.448703e-02 	3.448649e-02 	3.430616e-02 	6.817322e-02 	0.000000e+00 	3.439971e-02 	3.439943e-02 	3.432227e-02 	6.800061e-02 
1.000000e+00 	9.100000e+01 	8.000000e+01 	1.000000e+01 	3.441567e-02 	3.440209e-02 	3.425217e-02 	6.803217e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.000000e+00 	1.810000e+02 	8.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	6.911416e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.000000e+00 	1.220000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.000000e+00 	1.310000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999973e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.000000e+00 	2.210000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	8.114652e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.000000e+01 	1.600000e+01 	5.000000e+00 	1.000000e+00 	4.390510e-02 	4.383633e-02 	2.208836e-02 	8.679068e-02 	0.000000e+00 	3.313063e-02 	3.313037e-02 	3.305605e-02 	6.549193e-02 
1.000000e+01 	2.500000e+01 	5.000000e+00 	1.000000e+01 	2.503942e-02 	2.503330e-02 	2.314400e-02 	4.949740e-02 	0.000000e+00 	3.326049e-02 	3.326022e-02 	3.318561e-02 	6.574862e-02 
1.000000e+01 	1.150000e+02 	5.000000e+00 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.641436e-01 	3.410775e-02 	3.410748e-02 	3.403097e-02 	6.742348e-02 
1.000000e+01 	3.100000e+01 	2.000000e+01 	1.000000e+00 	3.657489e-02 	3.657033e-02 	3.516788e-02 	7.230046e-02 	0.000000e+00 	3.350990e-02 	3.350963e-02 	3.343446e-02 	6.624166e-02 
1.000000e+01 	4.000000e+01 	2.000000e+01 	1.000000e+01 	3.444623e-02 	3.444405e-02 	3.376611e-02 	6.809258e-02 	0.000000e+00 	3.369314e-02 	3.369287e-02 	3.361729e-02 	6.660389e-02 
1.000000e+01 	1.300000e+02 	2.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	3.379880e-01 	3.425498e-02 	3.425470e-02 	3.417786e-02 	6.771451e-02 
1.000000e+01 	5.100000e+01 	4.000000e+01 	1.000000e+00 	3.496028e-02 	3.495899e-02 	3.454714e-02 	6.910872e-02 	0.000000e+00 	3.406866e-02 	3.406839e-02 	3.399197e-02 	6.734621e-02 
1.000000e+01 	6.000000e+01 	4.000000e+01 	1.000000e+01 	3.464775e-02 	3.464681e-02 	3.433881e-02 	6.849093e-02 	0.000000e+00 	3.422856e-02 	3.422829e-02 	3.415151e-02 	6.766229e-02 
1.000000e+01 	1.500000e+02 	4.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	5.130693e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
