# Mh	DMP	CrossSection_fb
10	10	163.600000
10	20	120.990000
10	30	91.865000
10	40	71.460000
10	50	56.523000
10	60	45.517000
10	70	37.159000
10	80	30.769000
10	90	25.730000
10	100	21.797000
10	110	18.633000
10	120	16.099000
110	10	163.300000
110	20	120.850000
110	30	91.747000
110	40	71.384000
110	50	56.465000
110	60	45.467000
110	70	37.148000
110	80	30.749000
110	90	25.708000
110	100	21.757000
110	110	18.638000
110	120	16.087000
120	10	163.390000
120	20	120.870000
120	30	91.884000
120	40	71.361000
120	50	56.474000
120	60	45.509000
120	70	37.129000
120	80	30.735000
120	90	25.739000
120	100	21.790000
120	110	18.651000
120	120	16.076000
130	10	163.450000
130	20	121.020000
130	30	91.793000
130	40	71.331000
130	50	56.529000
130	60	45.418000
130	70	37.137000
130	80	30.746000
130	90	25.730000
130	100	21.813000
130	110	18.640000
130	120	16.111000
140	10	163.500000
140	20	120.870000
140	30	91.898000
140	40	71.439000
140	50	56.594000
140	60	45.413000
140	70	37.259000
140	80	30.759000
140	90	25.759000
140	100	21.775000
140	110	18.656000
140	120	16.056000
150	10	163.520000
150	20	121.040000
150	30	92.092000
150	40	71.242000
150	50	56.456000
150	60	45.462000
150	70	37.089000
150	80	30.752000
150	90	25.764000
150	100	21.791000
150	110	18.636000
150	120	16.065000
160	10	163.300000
160	20	120.940000
160	30	91.919000
160	40	71.474000
160	50	56.562000
160	60	45.488000
160	70	37.107000
160	80	30.738000
160	90	25.721000
160	100	21.811000
160	110	18.652000
160	120	16.101000
170	10	163.160000
170	20	120.960000
170	30	91.764000
170	40	71.417000
170	50	56.509000
170	60	45.452000
170	70	37.176000
170	80	30.740000
170	90	25.771000
170	100	21.787000
170	110	18.605000
170	120	16.083000
180	10	163.460000
180	20	121.100000
180	30	91.936000
180	40	71.353000
180	50	56.600000
180	60	45.478000
180	70	37.149000
180	80	30.770000
180	90	25.762000
180	100	21.761000
180	110	18.621000
180	120	16.049000
190	10	163.710000
190	20	121.240000
190	30	91.942000
190	40	71.311000
190	50	56.536000
190	60	45.485000
190	70	37.139000
190	80	30.703000
190	90	25.745000
190	100	21.831000
190	110	18.670000
190	120	16.094000
