MD1	DMP	DM3	CrossSection_fb	Br(h2->e+e-h1)_total	Br(h2->mu+mu-h1)_total	Br(h2->tau+tau-h1)_total	Br(h-->e-nu)_total	Br(h-->mu-nu)_total	Br(h-->tau-nu)_total	Br(h+->e+nu)_total	Br(h+->mu+nu)_total	Br(h+->tau+nu)_total
10	120	1	38.847	0.03440776	0.03440748	0.0343303	0.11114317777136	0.11114277777144	0.11106157778768	0.11114317777136	0.11114277777144	0.11106157778768
10	20	1	164.86	0.03657489	0.03657033	0.03516788	0.1126806	0.1126631	0.1081262	0.1126806	0.1126631	0.1081262
10	40	1	118.11	0.03496028	0.03495899	0.03454714	0.1115038	0.1114995	0.1102818	0.1115038	0.1114995	0.1102818
10	60	1	87.052	0.03461194	0.03461121	0.03437103	0.1112658	0.1112641	0.1107159	0.1112658	0.1112641	0.1107159
10	80	1	65.435	0.03446589	0.03446536	0.03429296	0.1111529	0.1111437	0.1108881	0.1111529	0.1111437	0.1108881
20	120	1	38.914	0.03440776	0.03440748	0.0343303	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
20	20	1	164.66	0.03654813	0.03654334	0.03509528	0.1126254	0.1126086	0.1082196	0.1126254	0.1126086	0.1082196
20	40	1	118.31	0.03494058	0.03493923	0.03451392	0.1114807	0.1114767	0.1103255	0.1114807	0.1114767	0.1103255
20	60	1	86.793	0.03459996	0.0345992	0.03435612	0.1112544	0.1112528	0.110741	0.1112544	0.1112528	0.110741
20	80	1	65.486	0.03445853	0.034458	0.03428763	0.1111437	0.1111357	0.1109128	0.1111437	0.1111357	0.1109128
30	120	1	38.84	0.034407756559224005	0.034407476559252	0.03433029656697	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
30	20	1	164.43	0.0365393	0.03653443	0.03506907	0.1126074	0.1125908	0.1082489	0.1126074	0.1125908	0.1082489
30	40	1	118.19	0.03493259	0.03493122	0.03449873	0.1114713	0.1114673	0.1103428	0.1114713	0.1114673	0.1103428
30	60	1	86.947	0.03459445	0.03459366	0.03434835	0.1112492	0.1112476	0.1107525	0.1112492	0.1112476	0.1107525
70	120	1	38.85	0.034407756559224005	0.034407476559252	0.03433029656697	0.11114318888568	0.11114278888572	0.11106158889384	0.11114318888568	0.11114278888572	0.11106158889384
70	20	1	164.83	0.03652829	0.03652334	0.0350408	0.1125898	0.1125733	0.1082749	0.1125898	0.1125733	0.1082749
70	40	1	118.24	0.03492123	0.0349198	0.03447797	0.1114601	0.1114562	0.1103613	0.1114601	0.1114562	0.1103613
70	60	1	87.036	0.03458566	0.03458485	0.03433579	0.1112422	0.1112407	0.1107665	0.1112422	0.1112407	0.1107665
70	80	1	65.396	0.03444874	0.0344482	0.03427911	0.1111349	0.1111281	0.1109399	0.1111349	0.1111281	0.1109399
80	120	1	38.816	0.03440776	0.03440748	0.0343303	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
80	20	1	164.44	0.03652704	0.0365221	0.03503834	0.1125884	0.112572	0.1082765	0.1125884	0.112572	0.1082765
80	40	1	118.2	0.03491982	0.0349184	0.03447574	0.1114591	0.1114552	0.1103627	0.1114591	0.1114552	0.1103627
80	60	1	87.168	0.03458446	0.03458366	0.03433421	0.1112414	0.1112399	0.1107677	0.1112414	0.1112399	0.1107677
80	80	1	65.483	0.03444779	0.03444726	0.03427818	0.1111343	0.1111275	0.1109412	0.1111343	0.1111275	0.1109412
1	120	1	38.835	0.03440776	0.03440748	0.0343303	0.11114315554272	0.11114275554288	0.11106155557536	0.11114315554272	0.11114275554288	0.11106155557536
1	20	1	164.49	0.03680636	0.03680234	0.03547069	0.1130133	0.1129919	0.1075447	0.1130133	0.1129919	0.1075447
1	40	1	118.24	0.03504302	0.03504182	0.03463523	0.1115834	0.1115783	0.1101322	0.1115834	0.1115783	0.1101322
1	60	1	87.129	0.03464893	0.03464821	0.0344036	0.1112969	0.111295	0.1106523	0.1112969	0.111295	0.1106523
1	80	1	65.438	0.03448703	0.03448649	0.03430616	0.1109557	0.1109331	0.1110899	0.1109557	0.1109331	0.1110899
10	120	1	16.077	0.03440776	0.03440748	0.0343303	0.11114317777136	0.11114277777144	0.11106157778768	0.11114317777136	0.11114277777144	0.11106157778768
10	20	1	120.96	0.03657489	0.03657033	0.03516788	0.1126806	0.1126631	0.1081262	0.1126806	0.1126631	0.1081262
10	40	1	71.308	0.03496028	0.03495899	0.03454714	0.1115038	0.1114995	0.1102818	0.1115038	0.1114995	0.1102818
10	60	1	45.485	0.03461194	0.03461121	0.03437103	0.1112658	0.1112641	0.1107159	0.1112658	0.1112641	0.1107159
