MD1	DMP	DM3	total_CS	limit_CS	Cross new limit	sigma_2l_A	Cross old limit
1	20	1	1.276737e+02	1.686768e+02	No	1.470000e+03	No
1	40	1	9.119944e+01	1.170410e+04	No	1.020000e+05	No
1	60	1	6.710581e+01	1.014355e+03	No	8.840000e+03	No
1	80	1	5.033734e+01	8.984619e+01	No	7.830000e+02	No
10	20	1	1.278082e+02	3.293213e+01	Yes	2.870000e+02	No
10	40	1	9.106713e+01	1.606445e+03	No	1.400000e+04	No
10	60	1	6.703751e+01	5.094727e+02	No	4.440000e+03	No
10	80	1	5.035836e+01	1.721191e+01	Yes	1.500000e+02	No
10	120	1	2.990600e+01	3.224365e+01	No	2.810000e+02	No
20	20	1	1.276270e+02	5.484863e+02	No	4.780000e+03	No
20	40	1	9.121222e+01	7.240479e+02	No	6.310000e+03	No
20	60	1	6.683510e+01	2.834229e+01	Yes	2.470000e+02	No
20	80	1	5.039728e+01	1.044189e+01	Yes	9.100000e+01	No
20	120	1	2.995758e+01	2.834229e+01	Yes	2.470000e+02	No
40	20	1	9.362871e+01	9.145264e+01	Yes	7.970000e+02	No
40	40	1	5.513670e+01	3.614502e+01	Yes	3.150000e+02	No
40	60	1	3.502533e+01	1.135986e+01	Yes	9.900000e+01	No
40	80	1	2.365714e+01	6.425781e+00	Yes	5.600000e+01	No
40	120	1	1.236672e+01	2.111328e+01	No	1.840000e+02	No
60	20	1	9.395827e+01	3.947266e+01	Yes	3.440000e+02	No
60	40	1	5.506873e+01	2.616211e+01	Yes	2.280000e+02	No
60	60	1	3.505549e+01	9.064942e+00	Yes	7.900000e+01	No
60	80	1	2.366395e+01	5.163574e+00	Yes	4.500000e+01	No
60	120	1	1.237211e+01	1.927734e+01	No	1.680000e+02	No
80	20	1	1.274346e+02	3.660400e+01	Yes	3.190000e+02	No
80	40	1	9.111659e+01	2.157227e+01	Yes	1.880000e+02	No
80	60	1	6.711939e+01	7.802735e+00	Yes	6.800000e+01	No
80	80	1	5.039436e+01	4.475098e+00	Yes	3.900000e+01	Yes
80	120	1	2.988214e+01	3.109619e+01	No	2.710000e+02	No
1	20	10	1.084774e+02	4.107910e+01	Yes	3.580000e+02	No
1	40	10	7.908469e+01	1.262207e+03	No	1.100000e+04	No
1	60	10	5.872145e+01	5.450440e+02	No	4.750000e+03	No
1	80	10	4.453745e+01	1.927734e+01	Yes	1.680000e+02	No
1	120	10	2.682123e+01	3.396484e+01	No	2.960000e+02	No
10	20	10	1.088286e+02	4.107910e+01	Yes	3.580000e+02	No
10	40	10	7.909220e+01	6.288086e+02	No	5.480000e+03	No
10	60	10	5.886599e+01	6.150391e+01	No	5.360000e+02	No
10	80	10	4.443928e+01	1.388428e+01	Yes	1.210000e+02	No
10	120	10	2.680892e+01	3.029297e+01	No	2.640000e+02	No
20	20	10	1.089467e+02	4.807861e+02	No	4.190000e+03	No
20	40	10	7.919626e+01	1.342529e+02	No	1.170000e+03	No
20	60	10	5.872924e+01	1.847412e+01	Yes	1.610000e+02	No
20	80	10	4.455080e+01	9.409180e+00	Yes	8.200000e+01	No
20	120	10	2.679199e+01	2.547363e+01	Yes	2.220000e+02	No
40	20	10	1.090924e+02	1.090088e+02	Yes	9.500000e+02	No
40	40	10	7.912193e+01	2.432617e+01	Yes	2.120000e+02	No
40	60	10	5.877187e+01	8.950196e+00	Yes	7.800000e+01	No
40	80	10	4.445911e+01	6.884766e+00	Yes	6.000000e+01	No
40	120	10	2.684203e+01	2.065430e+01	Yes	1.800000e+02	No
60	20	10	1.090180e+02	6.632324e+01	Yes	5.780000e+02	No
60	40	10	7.911500e+01	1.445801e+01	Yes	1.260000e+02	No
60	60	10	5.883994e+01	7.229004e+00	Yes	6.300000e+01	No
60	80	10	4.446902e+01	5.737305e+00	Yes	5.000000e+01	No
60	120	10	2.686898e+01	1.893311e+01	Yes	1.650000e+02	No
80	20	10	1.090622e+02	9.019043e+01	Yes	7.860000e+02	No
80	40	10	7.917682e+01	1.331055e+01	Yes	1.160000e+02	No
80	60	10	5.876638e+01	6.425781e+00	Yes	5.600000e+01	Yes
80	80	10	4.452214e+01	5.393067e+00	Yes	4.700000e+01	No
80	120	10	2.684127e+01	2.317871e+01	Yes	2.020000e+02	No
1	20	100	8.390577e+01	0.000000e+00	Yes	0.000000e+00	Yes
1	40	100	5.091588e+01	4.119385e+02	No	3.590000e+03	No
10	20	100	8.481508e+01	4.807861e+02	No	4.190000e+03	No
10	40	100	5.151484e+01	4.716065e+02	No	4.110000e+03	No
20	20	100	8.538583e+01	3.224365e+02	No	2.810000e+03	No
20	40	100	5.169412e+01	2.122803e+02	No	1.850000e+03	No
40	20	100	2.800859e+01	1.376953e+02	No	1.200000e+03	No
40	40	100	2.256900e+01	1.308106e+02	No	1.140000e+03	No
60	20	100	2.804204e+01	2.799805e+02	No	2.440000e+03	No
60	40	100	2.267545e+01	9.764893e+01	No	8.510000e+02	No
80	20	100	8.641415e+01	1.675293e+02	No	1.460000e+03	No
80	40	100	5.237880e+01	9.076416e+01	No	7.910000e+02	No
