m_D1	delta_m_plus	delta_m_0	sigma_2l_A	err_2l_A
1	5	1	3260	71
1	10	1	97.0	41
1	20	1	1470	58
1	40	1	102000	35
1	60	1	8840	45
1	80	1	783	11
10	5	1	698	58
10	10	1	161	38
10	20	1	287	45
10	40	1	14000	50
10	60	1	4440	26
10	80	1	150	5
10	120	1	281	6
20	5	1	97.0	41
20	10	1	140	35
20	20	1	4780	58
20	40	1	6310	38
20	60	1	247	6
20	80	1	91.0	4
20	120	1	247	6
40	5	1	3000	58
40	10	1	344	24
40	20	1	797	24
40	40	1	315	7
40	60	1	99.0	4
40	80	1	56.0	3
40	100	1	171	5
40	120	1	184	5
60	5	1	900	32
60	10	1	292	22
60	20	1	344	24
60	40	1	228	6
60	60	1	79.0	3
60	80	1	45.0	3
60	100	1	139	5
60	120	1	168	5
80	5	1	563	25
80	10	1	266	21
80	20	1	319	15
80	40	1	188	5
80	60	1	68.0	3
80	80	1	39.0	2
80	100	1	140	5
80	120	1	271	8
1	5	10	110	43
1	10	10	257	66
1	20	10	358	50
1	40	10	11000	50
1	60	10	4750	27
1	80	10	168	5
1	120	10	296	7
10	5	10	176	40
10	10	10	182	56
10	20	10	358	50
10	40	10	5480	58
10	60	10	536	9
10	80	10	121	4
10	120	10	264	6
20	5	10	3070	52
20	10	10	1410	49
20	20	10	4190	45
20	40	10	1170	13
20	60	10	161	5
20	80	10	82.0	4
20	100	10	263	6
20	120	10	222	6
40	5	10	1020	30
40	10	10	929	25
40	20	10	950	12
40	40	10	212	6
40	60	10	78.0	3
40	80	10	60.0	3
40	100	10	201	5
40	120	10	180	5
60	5	10	877	39
60	10	10	831	38
60	20	10	578	9
60	40	10	126	4
60	60	10	63.0	3
60	80	10	50.0	3
60	100	10	185	5
60	120	10	165	5
80	5	10	650	33
80	10	10	509	16
80	20	10	786	12
80	40	10	116	4
80	60	10	56.0	3
80	80	10	47.0	3
80	100	10	273	8
80	120	10	202	7
1	5	100	0	0
1	10	100	0	0
1	20	100	0	0
1	30	100	0	0
1	40	100	3590	50
10	5	100	2050	38
10	10	100	4780	58
10	20	100	4190	45
10	40	100	4110	25
20	5	100	7360	41
20	10	100	2810	50
20	20	100	2810	50
20	40	100	1850	17
40	5	100	2990	38
40	10	100	2450	24
40	20	100	1200	24
40	40	100	1140	13
60	5	100	585	17
60	10	100	708	18
60	20	100	2440	24
60	40	100	851	14
80	5	100	789	25
80	10	100	512	16
80	20	100	1460	18
80	40	100	791	14
