Mh	DMP	CrossSection_fb	~h2->e1,E1,~h1	~h2->e2,E2,~h1	~h2->e3,E3,~h1	~h-->N1,e1,~h1	~h-->N2,e2,~h1	~h-->N3,e3,~h1	~h+->n1,E1,~h1	~h+->n2,E2,~h1	~h+->n3,E3,~h1
10	10	1.671600e+02	9.982500e-08	9.976200e-08	9.537500e-08	NaN	NaN	NaN	NaN	NaN	NaN
10	100	4.453500e+01	7.986900e-03	7.976200e-03	7.918700e-03	NaN	NaN	NaN	NaN	NaN	NaN
10	110	3.936400e+01	1.530000e-02	1.538800e-02	1.530500e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	120	3.482900e+01	2.459300e-02	2.447600e-02	2.451300e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	20	1.413000e+02	7.041300e-07	7.038400e-07	6.884700e-07	NaN	NaN	NaN	NaN	NaN	NaN
10	30	1.202600e+02	2.834000e-06	2.831200e-06	2.799600e-06	NaN	NaN	NaN	NaN	NaN	NaN
10	40	1.026000e+02	8.524700e-06	8.520700e-06	8.440700e-06	NaN	NaN	NaN	NaN	NaN	NaN
10	50	8.836800e+01	2.171300e-05	2.169300e-05	2.153900e-05	NaN	NaN	NaN	NaN	NaN	NaN
10	60	7.622600e+01	5.051600e-05	5.049300e-05	5.021400e-05	NaN	NaN	NaN	NaN	NaN	NaN
10	70	6.629400e+01	1.157500e-04	1.157200e-04	1.152200e-04	NaN	NaN	NaN	NaN	NaN	NaN
10	80	5.782800e+01	3.330600e-04	3.329800e-04	3.316500e-04	NaN	NaN	NaN	NaN	NaN	NaN
10	90	5.069800e+01	2.746600e-03	2.745700e-03	2.739500e-03	NaN	NaN	NaN	NaN	NaN	NaN
110	10	1.671500e+02	9.979600e-08	9.986200e-08	9.539900e-08	NaN	NaN	NaN	NaN	NaN	NaN
110	100	4.456400e+01	7.959400e-03	7.967400e-03	7.931600e-03	NaN	NaN	NaN	NaN	NaN	NaN
110	110	3.932400e+01	1.530400e-02	1.527300e-02	1.530400e-02	NaN	NaN	NaN	NaN	NaN	NaN
110	120	3.487400e+01	2.449500e-02	2.460100e-02	2.455100e-02	NaN	NaN	NaN	NaN	NaN	NaN
110	20	1.416000e+02	7.044300e-07	7.039200e-07	6.889400e-07	NaN	NaN	NaN	NaN	NaN	NaN
110	30	1.200700e+02	2.835400e-06	2.834200e-06	2.796900e-06	NaN	NaN	NaN	NaN	NaN	NaN
110	40	1.027100e+02	8.528700e-06	8.531300e-06	8.445300e-06	NaN	NaN	NaN	NaN	NaN	NaN
110	50	8.847000e+01	2.172000e-05	2.170700e-05	2.154200e-05	NaN	NaN	NaN	NaN	NaN	NaN
110	60	7.637600e+01	5.048500e-05	5.050400e-05	5.017900e-05	NaN	NaN	NaN	NaN	NaN	NaN
110	70	6.628900e+01	1.157100e-04	1.157700e-04	1.151700e-04	NaN	NaN	NaN	NaN	NaN	NaN
110	80	5.788100e+01	3.332100e-04	3.333100e-04	3.317800e-04	NaN	NaN	NaN	NaN	NaN	NaN
110	90	5.063300e+01	2.751700e-03	2.747000e-03	2.734000e-03	NaN	NaN	NaN	NaN	NaN	NaN
120	10	1.674000e+02	9.986800e-08	9.977800e-08	9.535200e-08	NaN	NaN	NaN	NaN	NaN	NaN
120	100	4.460100e+01	7.953500e-03	7.934300e-03	7.930100e-03	NaN	NaN	NaN	NaN	NaN	NaN
120	110	3.932800e+01	1.528600e-02	1.536200e-02	1.523900e-02	NaN	NaN	NaN	NaN	NaN	NaN
120	120	3.486700e+01	2.464000e-02	2.464500e-02	2.457600e-02	NaN	NaN	NaN	NaN	NaN	NaN
120	20	1.414600e+02	7.031100e-07	7.032100e-07	6.892000e-07	NaN	NaN	NaN	NaN	NaN	NaN
