m_D1	delta_m_plus	delta_m_0	sigma_2l_A	err_2l_A
1	10	1	97	41
1	80	1	783	11
10	5	1	698	58
10	10	1	161	38
10	20	1	287	45
26	507	5	604	7
10	80	1	150	5
10	120	1	281	6
20	5	1	97	41
20	10	1	140	35
20	60	1	247	6
20	80	1	91	4
20	120	1	247	6
40	10	1	344	24
40	20	1	797	24
40	40	1	315	7
40	60	1	99	4
300	4	302	5	835
40	80	1	56	3
203	3	325	5	313
40	100	1	171	5
40	120	1	184	5
60	5	1	900	32
60	10	1	292	22
60	20	1	344	24
60	40	1	228	6
60	60	1	79	3
255	4	224	4	836
60	80	1	45	3
182	3	248	4	627
60	100	1	139	5
7	252	4	952	24
60	120	1	168	5
80	5	1	563	25
80	10	1	266	21
80	20	1	319	15
80	40	1	188	5
536	5	198	4	1
80	60	1	68	3
256	4	198	4	251
80	80	1	39	2
176	3	223	4	264
80	100	1	140	5
80	120	1	271	8
680	7	220	5	439
16	128	5	489	12
1	5	10	110	43
1	10	10	257	66
1	20	10	358	50
1	80	10	168	5
1	120	10	296	7
10	5	10	176	40
10	10	10	182	56
10	20	10	358	50
10	60	10	536	9
10	80	10	121	4
10	120	10	264	6
9	336	5	856	22
13	842	6	461	6
20	60	10	161	5
296	4	554	6	716
20	80	10	82	4
236	3	542	6	455
20	100	10	263	6
20	120	10	222	6
8	285	5	951	24
40	10	10	929	25
40	20	10	950	12
40	40	10	212	6
40	60	10	78	3
226	3	379	5	456
40	80	10	60	3
214	3	328	5	313
40	100	10	201	5
26	205	6	797	15
40	120	10	180	5
8	205	4	569	18
60	5	10	877	39
60	10	10	831	38
60	20	10	578	9
60	40	10	126	4
367	4	218	4	1
60	60	10	63	3
220	3	239	4	386
60	80	10	50	3
208	3	269	5	455
60	100	10	185	5
9	224	4	772	21
60	120	10	165	5
80	5	10	650	33
80	10	10	509	16
80	20	10	786	12
80	40	10	116	4
331	4	188	4	418
80	60	10	56	3
202	3	200	4	264
80	80	10	47	3
199	3	217	4	313
80	100	10	273	8
80	120	10	202	7
49	196	7	728	16
70	233	7	498	13
13	811	6	195	4
69	197	6	511	12
60	5	100	585	17
60	10	100	708	18
49	269	7	535	13
24	645	7	251	5
48	207	7	536	14
60	40	100	851	14
737	7	183	5	1
56	120	9	375	20
80	5	100	789	25
95	370	8	612	13
80	10	100	512	16
48	236	13	609	25
18	576	7	196	5
68	138	10	513	23
80	40	100	791	14
569	7	189	5	1
29	157	6	519	12
